Geneid	w1118_1	w1118_2	w1118_3	PcKD_1	PcKD_2	PcKD_3	vgLOF_PcKD_1	vgLOF_PcKD_2	vgLOF_PcKD_3	sdLOF_PcKD_1	sdLOF_PcKD_2	sdLOF_PcKD_3
CR45351	0	0	0	0	0	0	0	0	0	0	0	0
CG31872	0	0	0	0	0	0	0	0	0	0	0	0
CG18284	0	0	0	0	0	0	0	0	0	0	0	0
CG17097	0	0	0	0	0	0	0	0	0	0	0	0
CR44580	0	0	0	0	0	0	0	0	0	0	0	0
CG17098	0	8	4	0	5	0	0	0	0	0	0	0
CR45692	0	0	0	0	0	0	0	0	0	0	0	0
CG45690	0	0	0	0	0	0	0	0	0	0	0	0
CG31871	8	11	4	17	8	17	20	1	5	8	11	5
CG17104	119	160	105	138	169	115	155	157	130	110	177	134
CR44180	0	0	0	0	0	0	0	0	0	0	0	0
CG17105	48	13	8	2	3	0	0	0	0	0	0	0
CG17107	0	0	0	4	8	0	0	0	0	0	1	0
CG7299	13	4	30	6	15	1	9	1	38	1	0	1
CG7296	91	279	109	55	51	11	12	8	54	12	11	6
CG7294	168	361	121	83	86	31	64	63	95	28	32	48
CG17108	81	258	54	36	25	5	0	3	41	2	30	0
CG7300	58	133	45	10	29	2	0	1	1	0	2	1
CR44181	0	0	0	0	1	0	0	1	1	0	0	0
Lip1	5	6	2	2	3	2	0	4	1	1	8	4
Lip2	1	2	2	0	7	0	0	1	0	1	0	0
CG6415	69	84	168	7	144	0	0	3	7	40	0	0
CR44407	6	2	2	1	7	0	0	0	1	0	0	1
CG6431	0	0	0	2	0	0	0	0	0	0	0	1
CG6443	290	294	183	375	388	332	417	407	337	304	241	320
CG17118	3	11	5	11	11	5	6	5	4	5	4	1
EMC3	571	537	370	579	549	574	571	482	465	390	358	353
Dpy-30L1	318	348	202	399	406	412	390	375	414	423	331	351
Nup107	1161	1292	768	1357	1328	1226	1632	1351	1542	1287	1206	1178
Vha16-5	0	0	0	0	1	0	0	0	0	1	0	0
CG12299	1117	1331	808	1587	1852	1368	1774	1650	1720	2060	2297	2044
CG6729	428	445	314	443	519	404	588	505	522	474	476	406
mir-4970	1	0	0	1	0	0	0	0	0	0	0	0
CG17124	452	397	421	661	587	655	640	770	555	773	587	453
mir-9378	0	0	0	0	0	0	0	0	0	0	1	0
CG6495	214	206	186	331	313	286	106	127	72	122	129	132
Ubc2	2157	2353	1746	2569	2783	2399	2165	2050	1921	1812	1880	1977
CG6724	739	826	498	918	1014	908	961	841	872	773	772	719
CG17127	0	0	0	1	0	1	1	1	1	0	0	0
CG31869	987	921	550	1576	1347	1798	1089	873	863	928	546	588
CR44582	0	0	0	1	1	1	0	0	0	0	0	1
CG31870	0	3	3	0	0	0	0	0	0	0	0	0
CR44581	0	3	0	0	1	0	1	2	0	0	0	1
Nos	6	5	6	16	2	5	5	5	3	14	21	5
CG6508	0	0	0	0	0	0	0	0	0	0	0	0
CG17134	494	58	747	298	170	494	1	0	3	5	34	55
CG6700	1670	1676	1124	1597	1654	1682	1319	1395	1173	1468	1487	1347
mir-4987	0	0	0	0	0	0	0	0	0	0	0	0
CG17139	0	0	0	0	0	0	0	0	0	0	0	0
CG17140	0	0	0	0	0	0	0	0	0	0	0	0
Porin2	3	8	4	4	5	7	6	10	6	3	1	1
porin	11544	11723	8471	12693	13177	12897	11414	9849	11131	10277	10176	9714
SmydA-3	1	3	1	1	1	0	0	0	3	0	0	0
Dnz1	424	430	303	460	498	458	503	399	403	451	522	360
aurB	827	911	673	1099	1224	1045	983	865	1034	1071	1027	1031
Stam	1026	1018	780	1281	1408	1402	1221	1048	969	1083	928	904
CR43807	0	0	0	0	0	0	0	0	0	0	0	0
CG12517	0	0	0	1	0	2	0	2	0	0	0	0
CR45453	0	0	0	0	0	0	0	0	0	0	0	0
CR45454	0	0	0	0	0	0	0	0	0	0	0	1
CR44490	0	0	0	0	0	0	0	0	0	0	0	0
CG14071	0	1	0	0	0	0	0	0	0	0	0	0
CR44491	0	0	0	0	0	0	0	0	0	0	0	1
CG14070	0	1	1	0	1	0	0	0	0	0	0	0
CR45724	0	0	0	0	0	0	0	0	0	0	0	0
CG7309	0	3	0	0	1	0	0	0	0	0	1	0
CG14069	0	0	0	0	0	0	0	0	0	0	0	0
dpr2	8	3	12	15	1	9	1	0	0	21	24	24
CG14072	0	1	0	0	0	8	0	0	1	0	0	0
CR44492	0	1	0	0	0	2	0	0	0	0	0	0
CR44493	2	14	5	19	1	64	3	2	0	0	0	1
CG33129	6630	6516	5169	7584	7896	7638	6257	5711	5238	4627	4399	4723
YL-1	551	545	348	624	618	540	603	497	550	479	473	468
CG16743	26	50	172	7	93	6	3	7	40	24	10	1
abo	246	247	175	220	260	255	223	217	250	271	230	220
ATPsynG	2279	2262	1533	2306	2493	2395	2145	1958	2332	1795	2026	1875
SCAR	1261	1331	864	1352	1447	1350	1369	1182	1125	1234	1223	1162
piwi	19	27	28	42	38	12	22	13	16	34	23	44
CG12253	257	308	267	314	368	261	366	300	323	329	322	321
CG16833	896	960	680	825	862	800	831	676	755	774	769	699
aub	8	4	7	15	9	13	5	3	5	12	6	8
lectin-33A	0	0	0	0	1	0	2	4	1	0	1	0
RpL9	22709	23085	17470	25336	27877	25245	28144	25513	30165	26281	29369	26917
Nup154	2481	2501	1694	2457	2865	2190	2454	2184	2221	2229	1927	1896
Art8	511	498	342	435	495	428	543	449	485	457	419	428
CR45778	5	7	2	5	6	5	4	3	5	3	6	5
dUTPase	3214	3497	2436	3731	3864	3359	3880	3839	4341	3623	4123	3736
Samuel	855	900	611	1114	1253	1038	1066	834	848	1101	1001	976
Acp32CD	8	3	1	3	7	13	4	0	4	9	3	3
CG14913	0	0	0	0	0	0	0	0	0	0	0	0
CG18666	0	0	0	0	1	0	0	0	0	0	0	0
CR46264	0	0	0	0	1	1	0	0	0	0	0	0
CG14915	0	0	1	0	3	3	2	0	1	2	2	2
CR45725	0	0	0	0	0	0	0	0	0	0	0	0
CG43725	0	0	0	2	1	0	1	1	1	0	0	2
AstC	8	5	11	6	5	0	0	1	1	3	12	4
AstCC	1	0	4	4	0	1	0	0	0	3	6	0
CG16854	2	0	8	4	2	0	1	10	0	17	3	0
Wdr59	299	328	227	303	414	286	389	336	333	358	391	379
Ge-1	3553	3729	2726	3893	4435	3549	3785	3147	3258	3349	3212	3019
Reps	960	908	667	1200	1320	1112	1119	969	1006	945	968	940
l(2)gd1	527	565	415	577	672	524	636	555	583	632	627	539
CG6201	85	51	51	48	57	19	10	27	13	40	41	5
Gr32a	0	3	0	0	0	2	1	1	0	2	1	0
CG6230	1599	1513	1069	1928	2005	1877	1734	1401	1342	1236	1091	1158
CG14921	3	4	1	4	1	2	4	4	0	5	1	6
Csl4	403	399	267	321	342	340	374	339	365	310	392	359
Nup160	2122	2272	1695	2221	2634	2098	2391	2143	2302	2083	2083	1915
RfC38	933	999	747	956	1088	913	1155	982	1088	849	970	845
CG4751	1638	1664	1067	2008	2095	1739	1944	1636	1575	1564	1404	1361
hgo	1	1	0	0	0	0	0	2	0	0	3	1
Gyc32E	75	85	57	139	201	138	83	69	67	96	205	159
CG31867	0	2	0	0	1	0	0	0	0	0	1	0
CG6287	2966	2923	1767	3992	3623	4580	2284	1816	1629	2161	1403	1595
Ca-beta	95	66	55	120	106	106	48	75	44	76	93	64
Vm32E	0	1	0	1	0	1	0	0	0	2	0	1
CG4788	326	308	238	299	333	344	327	349	326	330	309	311
CR43859	2	1	1	0	1	2	3	0	4	3	1	4
ab	1977	2063	1440	2522	2902	2704	3365	2963	3480	3125	3319	2920
snoRNA:Me18S-G642	0	0	0	0	0	0	0	0	0	0	1	0
cmet	1743	1693	1466	2196	2437	1893	2036	1719	1751	1860	1772	1640
cana	843	896	714	1048	1181	858	895	799	770	1031	1039	995
CG33695	481	507	399	470	474	515	640	608	543	582	601	606
CR44182	0	0	0	0	0	0	0	0	0	0	0	0
Ppt2	482	540	335	405	455	373	305	261	235	252	260	248
mre11	712	761	561	837	844	765	1341	1238	1446	1089	1314	1267
Osi21	0	0	0	1	1	3	1	0	0	1	0	2
CR43409	0	0	0	0	0	1	0	0	0	0	0	0
CR43721	0	0	0	0	0	0	0	0	0	0	0	0
CR44583	1	3	1	0	0	0	0	1	0	0	0	0
CR44584	0	0	0	0	0	0	0	0	0	0	0	0
CR44585	0	0	0	0	0	0	0	0	0	0	0	0
CG14926	4	21	7	0	2	0	0	0	0	0	0	0
CR44586	0	0	0	0	0	0	0	0	0	0	0	0
salr	1193	1181	793	1500	1493	1417	1837	1477	1418	1866	2221	2067
CR43681	0	0	0	0	0	1	0	1	0	1	0	1
salm	860	980	551	1095	1235	1107	1465	1037	1001	1285	1286	1217
sala	0	0	0	0	0	0	0	0	0	0	0	0
CG43355	1	2	1	1	4	0	0	0	0	0	0	0
CG6488	224	202	166	257	293	264	231	209	203	212	170	203
spz4	39	44	29	30	30	15	11	9	9	28	40	31
Dlg5	2552	2474	1734	2715	2885	2540	2302	1968	1809	2185	2028	1940
CG4970	0	1	0	0	1	0	0	0	0	0	0	0
CG14929	0	0	0	0	0	0	0	0	0	0	0	0
CG14930	0	1	0	0	0	0	0	0	0	0	0	0
CG43153	0	3	1	0	0	0	0	1	0	1	0	0
CG31705	893	906	747	1276	1689	930	773	694	730	1127	1553	1053
CG31706	14	10	34	31	10	2	4	2	2	19	41	2
CG34162	0	0	0	0	0	0	0	0	0	0	0	0
CR42743	0	0	0	0	0	0	0	0	0	0	0	0
CG43438	0	0	0	0	0	0	0	0	0	0	0	0
CR44494	0	0	0	0	0	0	0	0	0	0	0	0
CR44495	0	0	0	0	0	0	0	0	0	0	0	0
kek2	93	66	63	190	167	164	68	102	52	169	137	110
Mst33A	0	14	0	0	3	0	0	0	0	0	0	0
CR44496	0	0	0	0	0	0	0	0	0	0	0	0
Acp33A	0	0	0	0	0	0	0	0	0	0	0	0
spag4	0	0	0	0	0	0	0	0	0	0	0	0
CG6614	0	1	0	0	1	0	0	0	0	0	0	0
CG12307	0	3	0	0	0	0	0	0	0	0	1	0
CG4983	0	1	1	0	4	0	0	0	0	0	0	0
CG43167	0	1	0	0	1	0	0	0	0	0	0	0
CR44497	0	2	0	0	0	0	0	0	0	0	0	0
CR44479	0	0	0	0	0	0	0	0	0	0	0	0
CR44480	0	0	0	0	0	0	0	0	0	0	0	0
CG44477	0	0	0	0	0	0	0	0	0	0	0	0
CR44481	0	0	0	0	0	0	0	0	0	0	0	0
CG4988	0	2	0	0	0	0	1	1	0	0	0	0
CR44143	0	1	0	0	0	0	0	0	0	0	0	0
CR44145	0	1	0	0	1	0	0	0	0	0	0	0
Vha100-5	0	1	1	0	1	0	0	0	0	0	0	0
CR44144	0	0	0	0	0	0	0	0	0	0	0	0
CG42470	0	0	0	0	0	0	0	0	0	0	0	0
CG42471	0	0	0	0	0	0	0	0	0	0	0	0
Sfp33A1	0	0	0	0	0	0	0	0	0	0	0	0
CG14931	0	1	0	0	0	0	0	0	0	0	0	0
CG14932	0	0	0	0	0	0	0	0	0	0	0	0
Tsp33B	0	1	0	0	1	0	0	1	0	0	0	0
CG14937	11	10	12	12	5	13	10	5	16	8	18	12
crol	7724	8388	5559	9707	10905	8992	7807	6778	6453	7591	7850	7393
snoRNA:Me18S-A934	0	2	0	1	1	1	2	0	0	0	0	0
CycY	1544	1533	1164	1807	1821	1700	1616	1471	1497	1524	1486	1263
Pde1c	85	45	57	59	50	56	43	66	29	60	69	39
esc	260	301	221	268	257	229	421	368	411	359	381	337
CG45011	0	0	0	0	0	0	1	0	0	0	0	0
CG45012	0	0	0	0	0	0	0	0	0	0	0	0
CR45013	0	0	0	0	0	0	0	0	0	0	0	0
CR45014	0	0	0	0	0	0	0	0	0	0	0	0
Sfp33A4	0	0	0	0	0	0	0	0	0	0	0	0
Sfp33A2	0	0	0	0	0	0	0	0	0	0	0	0
CR43937	0	0	0	0	0	0	0	0	0	0	0	0
Sfp33A3	0	0	0	0	0	0	0	0	0	0	0	0
CR43936	0	0	0	0	0	0	0	0	0	0	0	0
CG31704	2	0	4	0	1	3	1	0	0	0	1	0
CG44008	12	6	31	4	9	0	0	0	6	6	0	0
CG14933	1	0	1	1	0	0	0	0	0	0	1	0
CG42486	1	0	0	0	0	0	0	0	0	0	0	0
Mal-B1	1	1	1	0	0	0	0	0	0	1	1	0
Mal-B2	84	93	88	33	126	30	15	21	57	108	201	142
CG42751	3	4	0	0	0	0	1	0	0	5	0	1
Or33a	0	0	0	0	0	0	0	0	0	0	0	0
Or33b	0	0	0	0	1	0	0	0	0	0	0	0
Or33c	0	0	0	0	0	0	0	0	0	0	0	0
Crys	0	0	0	3	1	0	13	5	10	2	3	3
CG16964	0	1	2	0	0	0	0	0	0	0	0	0
CR43314	10	5	12	4	5	12	7	8	7	4	11	1
bft	0	0	0	0	0	0	0	0	0	0	0	0
CG16965	0	0	0	0	0	0	0	0	0	0	2	0
CG6686	1583	1668	1341	1885	1970	1727	1602	1513	1557	1642	1703	1473
CG34163	345	326	268	369	372	313	337	278	302	308	330	311
zuc	66	86	53	83	108	93	125	116	170	168	177	122
dgt2	556	601	460	625	631	594	682	623	671	701	710	620
escl	200	223	143	199	222	177	249	177	193	191	184	173
Ada1-2	33	45	29	40	76	47	51	57	50	46	34	34
CG18789	11	20	8	6	9	9	7	3	15	7	11	9
Qtzl	62	73	30	68	52	83	60	38	64	86	81	83
Ada1-1	20	36	13	0	0	0	0	0	0	0	1	0
CG18787	50	52	24	54	67	47	70	77	58	61	37	51
CG12264	458	413	245	442	465	447	527	461	484	454	497	472
CG6746	614	620	333	543	644	618	670	588	638	620	717	670
Rh5	22	25	10	5	5	7	6	4	2	7	7	10
CR44588	0	0	0	0	0	0	0	2	0	1	0	1
CG6734	348	365	247	439	521	428	490	384	315	365	388	311
CR44587	1	7	0	1	2	6	0	0	0	2	3	5
dmGlut	390	388	283	260	260	322	100	113	80	216	273	216
CG18788	0	0	0	0	0	1	0	1	0	1	0	2
Tom70	812	885	530	1126	1191	1127	956	704	849	991	857	814
CG6766	1125	1152	783	1107	1258	1323	1098	925	990	858	829	768
CR46070	0	1	1	0	0	0	0	0	0	1	0	0
CG6785	75	59	43	45	36	57	39	40	30	23	20	26
CG6770	9877	7106	8437	8457	9109	10250	5074	5112	4660	6289	6277	6660
CR44589	18	17	9	4	10	13	14	11	15	20	16	30
Plzf	104	98	84	98	119	95	114	89	114	95	92	78
CG14945	89	68	48	93	84	43	19	28	23	44	50	19
JhI-21	1075	1044	709	1249	1373	1399	1830	1592	1331	1176	1106	1053
RpL7-like	0	1	3	2	2	1	0	1	1	3	0	1
CG34164	0	0	0	0	0	0	0	0	0	0	0	0
Rab3-GAP	511	531	366	570	661	589	504	384	425	478	458	405
firl	454	476	282	260	316	350	308	302	206	262	248	258
CG14947	2	2	0	1	1	2	0	1	0	1	0	1
CR44591	0	0	0	0	0	0	0	0	0	0	0	0
CR44590	0	0	0	0	0	0	0	0	0	0	0	0
prd	3	1	0	0	0	0	0	0	1	0	0	0
CR44592	0	0	0	0	0	0	0	0	0	0	0	0
CR44593	0	0	0	0	0	0	0	0	0	0	0	0
Pex19	879	885	632	1103	1190	1187	1007	961	1102	950	1071	1105
CR44594	0	0	0	0	0	0	0	0	0	0	0	0
CG6712	647	736	542	682	814	718	757	636	763	633	717	664
Mt2	120	109	71	131	151	116	120	111	131	109	125	94
Ced-12	522	623	439	646	664	550	582	480	448	604	514	419
Patsas	8	10	11	14	17	15	11	16	10	20	22	11
ThrRS	3804	4052	2933	4319	4487	4380	5285	4521	5010	4418	4584	3826
Rab6	1695	1551	1268	1868	1815	2095	1670	1394	1191	1234	1053	1004
Phae1	3	1	12	0	1	0	0	0	0	0	0	0
Phae2	1	3	2	1	0	0	0	0	1	0	1	0
CG17211	1396	1559	1183	2606	2990	2569	768	738	936	1867	1930	1844
rho-6	0	0	0	0	0	0	0	0	0	0	0	0
Gr33a	0	0	0	0	1	0	0	0	0	0	0	0
CG31760	26	15	19	64	38	17	9	13	3	30	39	27
CG31861	0	0	0	0	1	0	0	0	0	0	0	0
ZnT33D	0	1	0	0	0	0	0	1	1	0	0	0
CG17217	0	1	0	0	0	0	0	0	0	0	0	0
CG6583	1024	1181	832	1435	1448	1506	1267	1098	1040	970	1128	1248
crok	985	1097	723	1186	1369	1262	1295	1135	1115	1000	1137	1223
CR43356	0	0	0	0	0	0	0	0	0	0	0	0
bru1	50	45	66	58	72	36	25	38	17	37	27	12
atilla	68	87	60	93	95	68	47	51	78	88	51	111
CG31759	277	289	213	358	443	338	283	238	250	250	249	243
CR45282	0	0	0	0	0	0	0	0	0	0	0	0
CR45283	0	0	0	0	0	0	0	0	0	0	0	0
CG31862	0	0	0	0	0	0	0	0	0	0	0	0
CG43813	0	0	0	0	0	0	0	1	0	0	0	0
bru2	107	78	59	65	100	160	46	37	33	70	49	26
CG17010	0	4	0	0	0	0	0	0	0	0	0	0
Pkd2	0	1	1	0	1	0	0	1	0	0	0	0
vir-1	829	892	1150	727	1278	929	1092	989	1251	977	1005	809
CG6405	6	7	4	12	3	8	7	2	5	7	3	0
CG5446	941	974	584	1221	1446	1319	789	721	763	1133	1145	998
CG6388	720	794	506	848	874	827	854	740	860	826	890	717
CG5435	1	4	3	5	3	9	0	3	3	4	4	14
SC35	2591	2719	1811	2617	2766	2594	2684	2603	2821	2488	2906	2670
snoRNA:SC35-a	5	6	1	2	2	2	8	6	3	0	0	1
snoRNA:SC35-b	2	3	0	2	1	1	2	9	6	0	0	1
Elf	4752	4839	3637	5725	6158	6147	5254	4569	4469	4144	3535	3777
Oatp33Ea	2	4	12	1	0	3	1	1	0	3	2	1
CG5421	0	0	0	0	2	0	0	0	0	0	0	0
Oatp33Eb	0	0	1	0	2	1	0	1	0	0	0	0
CG5418	26	38	17	19	13	7	0	2	1	3	5	8
bun	5389	6107	4949	5611	6757	5063	5559	5263	4860	4533	6071	4890
mir-967	0	1	2	0	1	1	1	1	1	1	0	2
t-cup	0	4	0	0	0	0	0	0	0	0	0	0
CR43051	333	376	330	269	329	238	362	364	310	266	389	292
snoRNA:CG43051-a	0	0	0	0	0	0	0	0	0	0	0	0
CR42746	0	0	0	0	0	0	0	0	0	0	0	0
CR44598	1	0	0	0	0	0	0	0	0	0	0	0
CR44597	0	0	0	0	0	0	0	0	0	0	0	0
CR44596	0	0	0	0	0	0	0	0	0	1	1	1
CR44595	1	0	0	0	0	0	0	0	0	0	0	0
nub	83	148	77	302	230	209	1344	1179	1199	1704	1419	1418
Ref2	0	0	0	0	0	0	0	0	0	0	0	0
pdm2	8	25	8	31	24	16	176	168	164	256	207	234
CG15485	10	41	16	24	4	36	14	9	4	2	2	4
CG5525	4991	5576	3403	5915	6836	6475	7004	6022	6762	5976	6262	5116
CG6153	284	302	171	313	331	281	248	261	283	289	273	247
CG5780	149	144	121	157	163	168	123	102	106	102	88	86
PICK1	92	98	81	95	90	76	40	53	39	69	76	63
CG5781	0	0	0	0	0	0	0	0	0	0	0	1
CG17036	61	66	42	59	82	73	40	31	37	76	90	69
CG5776	359	352	269	379	482	392	444	327	369	349	320	314
spict	534	523	342	704	803	719	753	643	653	540	556	560
CG15484	7	9	12	17	15	27	25	28	48	58	76	46
CG6180	2759	2863	1929	2615	2938	2911	2849	2396	2690	2416	2493	2327
CG5787	2499	2540	1776	3190	3442	2938	2861	2572	2593	2316	2216	2178
Pih1D1	1308	1383	1071	1446	1497	1433	1453	1414	1503	1346	1338	1254
MRP	1878	1782	1239	2193	2453	2151	2349	2166	2431	2000	2132	2087
mir-9382	1	1	0	0	2	0	2	2	3	2	2	0
CG15483	0	2	0	0	2	0	0	0	0	0	0	0
CR46206	0	2	0	0	0	0	0	0	0	0	0	1
CR43818	0	0	0	0	0	0	0	0	0	0	0	0
kek1	3266	3558	2663	5111	5953	4526	4227	3835	3416	4224	4471	4063
CR44970	5	5	7	5	11	6	4	6	3	2	2	3
CR44971	1	2	1	2	2	3	2	1	1	2	0	0
ACXC	0	3	1	1	2	0	0	0	0	0	0	0
ACXB	0	0	0	0	1	0	0	0	0	0	0	0
ACXA	0	3	0	0	1	0	0	0	0	0	0	0
ACXE	0	0	0	0	0	0	0	0	0	0	0	0
CR44183	0	0	0	0	0	0	0	0	0	0	0	0
CG16800	11	13	8	82	54	101	9	5	5	73	96	63
Vha68-2	3867	3950	2834	3881	4782	4002	3956	3502	3684	3749	4037	3537
Vha68-3	0	7	2	1	9	1	0	1	1	0	0	2
CG12404	784	842	510	753	868	866	877	841	799	847	801	708
Vha68-1	170	126	182	247	196	196	136	129	73	157	216	137
Tor	1796	1836	1209	2293	2537	2231	2117	1642	1809	1595	1210	1380
CG9934	2155	2241	1531	2328	2538	2188	2103	1717	1732	1726	1578	1469
A16	653	741	511	714	789	710	662	605	660	684	644	622
CG9932	1322	1473	1063	1736	2125	1441	1701	1385	1474	1221	1681	1564
CR44197	0	0	0	0	0	0	0	0	0	0	0	0
CR45447	0	0	0	0	0	0	0	0	0	0	0	0
CR45461	0	0	0	1	0	0	0	0	0	0	0	0
CG5142	7	9	5	11	23	11	4	9	4	6	3	11
CR44198	0	0	0	0	0	1	0	0	0	0	2	0
CG43050	0	0	0	0	0	0	0	0	0	0	0	0
CG5122	0	6	0	1	0	0	0	0	0	0	1	0
CG9928	1	5	1	0	2	2	0	0	3	1	0	0
CG16978	0	0	0	0	0	0	0	0	0	1	0	0
CR44199	0	0	0	0	0	0	0	0	0	0	0	0
Pk34A	0	1	0	0	1	0	0	0	0	0	0	0
CG5204	1	1	0	3	5	9	2	2	1	2	0	3
DnaJ-H	605	680	472	615	682	586	383	335	333	435	446	448
Sirt1	1619	1649	1206	1873	2064	1704	1809	1543	1548	1491	1347	1379
Sfmbt	1920	2085	1523	2420	2716	2265	2463	2059	2050	2080	2086	2151
CR46256	1	0	0	3	1	0	1	0	0	0	0	0
CG43925	1	2	1	0	0	2	1	1	6	0	0	1
CG5439	445	487	367	466	510	465	538	519	499	497	486	470
CG5287	168	206	123	160	227	197	249	208	181	193	159	145
CG31849	89	102	60	131	125	161	91	80	74	90	82	71
CG5458	7	17	8	2	2	7	1	3	1	1	4	4
CG16974	4030	4133	2824	4109	4415	4147	4520	3644	3579	3238	3163	2793
Edem2	1075	1021	713	1143	1188	1291	1056	849	841	860	850	797
CG16972	579	709	459	725	757	629	635	534	518	599	617	577
Pect	566	540	582	622	740	563	573	545	495	499	527	443
CG15482	2	0	0	0	1	1	1	0	0	0	0	0
snRNA:U2:34ABa	6	3	1	0	0	0	0	0	0	0	0	0
kek4	10	4	17	24	19	9	6	5	2	6	6	6
snRNA:U2:34ABb	0	0	0	0	0	0	0	0	0	0	0	1
CG9426	671	706	514	731	842	747	633	588	582	663	693	612
CG5705	78	73	68	103	116	105	127	97	115	126	103	88
Ski6	310	354	258	348	377	374	379	317	348	309	339	330
CG16812	650	710	548	826	821	796	809	734	794	648	710	629
CG15480	0	0	0	0	0	0	0	0	0	0	0	0
CG16813	0	0	0	0	0	0	0	0	0	0	0	0
CG16815	0	0	0	0	0	0	0	0	0	0	0	0
Prosalpha6T	0	1	1	0	0	0	0	0	0	0	0	0
Mabi	0	0	0	0	0	0	0	0	0	0	0	0
CG5867	29	66	71	15	11	1	1	3	34	0	0	3
CG5945	0	0	0	0	0	0	0	0	0	0	0	0
CR45330	0	0	0	0	0	0	0	0	0	0	0	0
snRNA:U2:34ABc	0	0	0	0	0	0	0	0	0	1	0	0
snRNA:U5:34A	1	0	0	3	1	0	0	0	0	1	1	0
CG16820	225	155	107	87	130	49	25	33	14	15	16	24
l(2)k05911	700	1236	521	1300	1127	813	332	270	145	274	275	300
CG31851	0	0	0	0	0	1	0	0	0	0	0	0
CG31730	0	1	1	0	0	0	0	0	0	0	0	0
CG44085	403	460	307	635	774	226	312	331	306	211	354	266
CG31848	0	0	0	0	0	0	0	0	0	0	0	0
Drep4	321	349	220	318	356	278	358	326	299	250	240	270
CR44083	0	0	0	0	0	0	0	0	0	0	0	0
Uvrag	494	498	394	425	500	476	429	450	460	449	520	477
CR44972	1	0	0	1	0	3	0	0	0	0	0	1
CG31729	1844	1847	1362	2229	2397	2057	1771	1724	1616	1909	2007	1508
CG16824	12	10	3	12	19	15	0	0	0	14	19	13
CG43778	437	357	417	418	356	324	387	325	295	304	336	171
CG16825	0	3	0	0	2	0	0	0	0	0	0	0
CG43779	1	1	1	0	1	0	0	0	1	0	1	0
CG16826	1	0	1	0	1	4	0	0	0	1	0	0
CG9395	38	33	52	93	58	56	45	70	17	93	99	44
CG9377	3	0	0	0	0	0	0	0	0	0	0	0
Nnp-1	1992	2148	1509	2228	2475	2170	2319	1839	2143	1803	1678	1820
CG6523	1278	1260	859	1451	1561	1482	1266	1163	1230	1084	1143	1105
Tap42	813	935	697	894	1014	832	887	745	862	855	792	719
CG31855	573	570	467	718	825	605	658	542	563	500	489	464
ND-B22	711	823	542	718	832	718	784	693	713	643	720	594
CG9305	727	764	567	834	904	758	778	709	684	607	591	634
CG6565	404	433	280	392	542	391	539	467	449	427	409	381
CG9302	2795	3016	2043	2723	2599	2830	2971	2509	2427	1962	1786	1718
beta'COP	3223	3139	2284	3872	3943	4167	3757	3302	3294	3256	2833	2731
loqs	914	904	689	1010	990	946	894	816	752	785	915	837
CR44599	0	0	0	1	0	0	0	0	0	1	2	0
CG9293	382	380	328	355	398	361	360	314	328	315	280	264
CG7099	463	464	363	576	672	555	533	459	556	632	509	498
RpL24	13104	13671	7706	16642	18992	18775	17196	16659	19434	18207	19140	17919
CG16957	18	27	16	14	13	24	7	13	1	7	4	12
CG10859	11	13	6	1	3	6	2	2	0	2	1	1
CR44600	0	0	0	1	0	0	0	0	0	2	1	0
CG7110	995	1090	769	1203	1348	1072	1257	1084	1038	1128	1171	1048
Vm34Ca	0	0	0	0	0	0	0	0	0	0	0	0
CG16848	0	0	0	0	0	0	0	0	0	0	0	0
CG16956	0	0	0	0	0	0	0	0	1	0	0	0
CG43850	0	2	0	1	1	2	0	0	0	2	3	1
CG42784	1	2	0	9	14	16	2	2	1	12	14	8
Tehao	6	4	8	12	9	12	7	7	5	10	4	11
CR45683	2	2	7	0	0	1	3	4	5	1	1	0
CG9267	431	396	324	498	576	519	509	481	542	625	676	601
Hsp60D	0	1	0	0	0	0	0	0	0	2	2	0
CG42809	0	0	0	0	0	0	0	0	0	0	0	0
CR45684	0	0	0	0	0	0	0	0	0	0	0	0
CG42810	0	0	0	0	0	0	0	0	0	0	0	0
CG46308	0	0	0	0	0	0	0	0	0	0	0	0
B4	1769	1820	1497	2051	2372	1911	1731	1777	1574	1872	2230	1891
CG33640	2	14	26	3	2	0	0	0	0	1	0	0
CG33641	0	0	5	0	1	0	0	0	0	0	0	0
CG33642	0	0	0	0	0	0	0	0	0	0	0	0
CG33643	0	0	0	0	2	0	0	0	0	0	0	0
CG33644	0	0	0	0	0	0	0	0	0	0	0	0
CG33645	0	0	0	0	0	0	0	0	0	0	0	0
CG15638	0	1	0	0	1	1	0	0	0	0	1	1
CG16852	0	0	1	0	0	0	0	0	0	0	0	0
CG9263	2	3	0	1	0	0	3	6	4	2	1	0
CG16853	0	1	0	0	0	0	0	0	0	0	0	0
kuz	3014	2904	1988	3469	3562	3524	2725	2371	1872	2099	1980	2070
CR44973	0	0	0	0	0	0	0	0	0	0	0	0
CG9254	0	10	3	0	3	0	0	0	0	0	0	0
mir-2489	0	0	0	0	0	0	0	0	0	0	0	0
CR43410	0	1	0	0	0	0	0	0	0	0	0	0
ics	814	834	551	962	1122	932	740	648	652	1004	1090	1038
CR44726	0	0	0	0	0	1	0	0	0	0	0	0
CG18507	794	811	576	819	938	911	1036	1141	1104	1330	1760	1476
CG31814	5	1	8	12	4	4	6	10	4	22	7	2
